"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"Scotland","Female",20,"under_20",2019,79,"US",55.8541772151899,38.8816455696203,55.3683613427063,38.764108478145,0.811756795005455
"Scotland","Female",24,"20-24",2019,86,"US",56.4883720930233,41.0245348837209,55.6201431523434,40.8940589910245,0.838188332132814
"Scotland","Female",29,"25-29",2019,78,"US",53.8264102564103,43.0801282051282,53.8527614283678,41.993730013561,0.82122780646108
"Scotland","Female",34,"30-34",2019,92,"US",52.0538043478261,43.6975,51.7175579116316,44.9683547112381,0.819550150367324
"Scotland","Female",39,"35-39",2019,80,"US",51.201875,46.8075,49.6380765022949,46.0281935068901,0.802386396239628
"Scotland","Female",44,"40-44",2019,107,"US",52.4264485981308,44.6994392523365,50.9332498961034,44.1977085935712,0.8015508179216
"Scotland","Female",49,"45-49",2019,136,"US",49.2379411764706,43.6906617647059,46.071224079908,43.0476115955964,0.728607461197349
"Scotland","Female",54,"50-54",2019,157,"US",49.5530573248408,47.3861146496815,49.3663577017666,47.0600147774799,0.808615167335792
"Scotland","Female",59,"55-59",2019,152,"US",49.0519736842105,48.07625,48.925566628775,47.347841776046,0.805852072803035
"Scotland","Female",64,"60-64",2019,139,"US",45.6942446043165,48.2592805755396,45.4658867869277,47.2404835770372,0.764185613269687
"Scotland","Female",69,"65-69",2019,122,"US",44.9232786885246,51.8043442622951,44.7278134902224,51.9868076104534,0.798763880872602
"Scotland","Female",74,"70-74",2019,118,"US",44.866186440678,50.8596610169492,43.8514703663442,50.7312597537036,0.778403501608277
"Scotland","Female",79,"75-79",2019,81,"US",40.9081481481482,52.0886419753087,38.8586777122072,51.6084317206619,0.730590155266395
"Scotland","Female",84,"80-84",2019,53,"US",39.0201886792453,49.928679245283,38.479156019603,46.9171075054304,0.679472617772998
"Scotland","Female",85,"85_plus",2019,33,"US",37.6833333333333,53.1787878787879,37.2510798547225,51.0642500937633,0.706204197685973
"Scotland","Male",20,"under_20",2019,58,"US",56.1272413793104,47.2962068965517,56.0653456609351,48.966012405364,0.917848576933623
"Scotland","Male",24,"20-24",2019,55,"US",55.4054545454546,44.7465454545455,56.6202564249062,43.9114185150148,0.884065120222786
"Scotland","Male",29,"25-29",2019,57,"US",56.1580701754386,45.5849122807018,56.7066722717025,47.0282984469088,0.912693778189142
"Scotland","Male",34,"30-34",2019,67,"US",55.3897014925373,45.1723880597015,56.1414879760122,41.8065452306451,0.856000560359463
"Scotland","Male",39,"35-39",2019,68,"US",54.7073529411765,48.4720588235294,55.1862458325156,48.6147106492414,0.90136599466518
"Scotland","Male",44,"40-44",2019,89,"US",52.2213483146068,46.8519101123596,51.4131887547631,45.8212158333193,0.823446047809979
